                                          name                                           |    weight     |         measure         | kcal | kind 
-----------------------------------------------------------------------------------------+---------------+-------------------------+------+------
 7 cereais integrais+quinua+linhaça Mãe Terra                                            | 45g           | 1/4 de xícara           |  155 | a
 Abacate                                                                                 | 45 g          | 1 colher de sopa        |   43 | a
 Abacaxi                                                                                 | 75 g          | 1 fatia                 |   36 | a
 Abacaxi desidratado sem açúcar                                                          | 30 g          | 1 pacote                |   45 | a
 Abacaxi em água sem açúcar enlatado                                                     | 75 g          | 1 fatia                 |   24 | a
 Abacaxi liofilizado                                                                     | 40 g          | 1 pacote                |  138 | a
 Abadejo cozido / assado / grelhado - peixe                                              | 120 g         | 1 filé                  |   86 | a
 Abiu                                                                                    | 100 g         | 1 unidade               |   62 | a
 Abóbora cabotian cozida                                                                 | 90 g          | 2 colheres de sopa      |   43 | a
 Abóbora Cozida                                                                          | 25 g          | 1 colher de sopa        |   18 | a
 Abobrinha cozida                                                                        | 50 g          | 2 colheres de sopa      |   25 | a
 Abobrinha Recheada - Habibs                                                             | 240 g         | 1 unidade               |  280 | a
 Abobrinha refogada                                                                      | 60 g          | 2 colheres de sopa      |   70 | a
 Abricó                                                                                  | 100 g         | 1 unidade               |    7 | a
 Açaí com banana, granola e mel                                                          | 200 g         | 1 porção                |  493 | a
 Açai na tigela                                                                          | 20 g          | 1 colher de sopa        |   49 | a
 Acelga crua                                                                             | 60 g          | 1 prato de sobremesa    |   12 | a
 Acelga refogada                                                                         | 30 g          | 2 colheres de sopa      |    6 | a
 Acerola                                                                                 | 60 g          | 1 xícara                |   50 | a
 Achocolatado de soja Sabor Chocolate Suíço - Taeq                                       | 20 g          | 2 colheres de sopa      |   66 | a
 Achocolatado diet - GOLD                                                                | 10 g          | 1 colher de sopa        |   35 | a
 Achocolatado diet - Lowçucar                                                            | 10 g          | 1 colher de sopa        |   35 | a
 Achocolatado doce menor light                                                           | 15 g          | 2 colheres de sopa      |   51 | a
 Achocolatado em pó com fibras - Palate Active                                           | 20 g          | 1 colher de sopa        |   67 | a
 Achocolatado em pó New Choco Diet Lowçucar                                              | 14 g          | 1 colher de sopa        |   50 | a
 Achocolatado light - Toddy                                                              | 10 g          | 1 colher de sopa        |   37 | a
 Actimel defensis zero de gordura                                                        | 100 g         | 1 copo                  |   28 | a
 Activia líquido 0% DANONE                                                               | 180 ml        | 1 unidade               |   68 | a
 Activia polpa 0% DANONE                                                                 | 100 g         | 1 unidade               |   62 | a
 Açúcar baunilhado orgânico Valeso                                                       | 5 g           | 1 unidade               |    5 | a
 Ades Chocolate Light                                                                    | 200 ml        | 1 copo                  |   86 | a
 Ades light (sabores frutas)                                                             | 200 ml        | 1 copo                  |   39 | a
 Ades original                                                                           | 200 ml        | 1 copo                  |   77 | a
 Ades original light                                                                     | 200 ml        | 1 copo                  |   53 | a
 Ades (sabores frutas)                                                                   | 200 ml        | 1 copo                  |   71 | a
 Adoçante em gotas                                                                       | 1 ml          | 1 gota                  |    1 | a
 Adoçante em pó                                                                          | 1 g           | 1 sachê                 |    2 | a
